0,30
1,3
2,0
3,5
4,16
5,4
6,13
7,23
8,20
9,17
10,18
11,17
12,18
13,21
14,11
15,29
16,1
17,25
18,17
19,11
20,21
21,4
22,7
23,9
24,13
25,4
26,17
27,7
28,18
29,1
30,9
31,21
32,16
33,15
34,14
35,18
36,18
37,8
38,14
39,21
40,29
41,15
42,22
43,27
44,1
45,15
46,3
47,22
48,29
49,1
50,7
51,15
52,20
53,7
54,2
55,21
56,30
57,23
58,23
59,1
60,26
61,8
62,6
63,4
64,9
65,25
66,11
67,2
68,13
69,3
70,26
71,14
72,26
73,15
74,26
75,5
76,8
77,5
78,17
79,0
80,10
81,20
82,2
83,17
84,12
85,13
86,17
87,28
88,14
89,10
90,30
91,2
92,1
93,21
94,25
95,3
96,10
97,7
98,30
99,7
100,9
101,29
102,0
103,26
104,8
105,0
106,24
107,1
108,18
109,28
110,13
111,12
112,5
113,5
114,26
115,15
116,20
117,29
118,3
119,5
120,23
121,17
122,6
123,31
124,16
125,22
126,12
127,8
128,31
129,23
130,4
131,18
132,4
133,0
134,17
135,23
136,25
137,24
138,13
139,21
140,8
141,25
142,6
143,28
144,6
145,7
146,25
147,7
148,8
149,14
150,1
151,16
152,16
153,32
154,11
155,6
156,23
157,22
158,5
159,23
160,2
161,14
162,10
163,13
164,5
165,16
166,21
167,21
168,14
169,13
170,15
171,21
172,9
173,8
174,12
175,7
176,29
177,20
178,25
179,29
180,29
181,8
182,4
183,12
184,8
185,17
186,18
187,9
188,20
189,20
190,10
191,7
192,0
193,10
194,18
195,23
196,30
197,5
198,16
199,14
200,12
201,9
202,14
203,14
204,12
205,3
206,26
207,14
208,4
209,23
210,12
211,26
212,10
213,12
214,10
215,6
216,17
217,9
218,5
219,30
220,18
221,19
222,11
223,30
224,20
225,21
226,8
227,29
228,15
229,25
230,11
231,26
232,30
233,0
234,14
235,30
236,2
237,20
238,5
239,21
240,16
241,16
242,7
243,0
244,0
245,10
246,14
247,26
248,8
249,9
250,29
251,26
252,18
253,5
254,21
255,14
256,26
257,20
258,21
259,20
260,11
261,6
262,13
263,25
264,8
265,18
266,10
267,23
268,3
269,17
270,23
271,10
272,25
273,21
274,18
275,20
276,22
277,20
278,30
279,1
280,20
281,2
282,5
283,23
284,19
285,2
286,14
287,10
288,29
289,17
290,18
291,16
292,10
293,29
294,20
295,15
296,16
297,15
298,17
299,17
300,9
301,4
302,13
303,17
304,26
305,31
306,10
307,13
308,1
309,11
310,23
311,27
312,22
313,32
314,22
315,4
316,6
317,6
318,13
319,13
320,21
321,16
322,20
323,16
324,7
325,1
326,14
327,10
328,28
329,0
330,13
331,6
332,27
333,2
334,14
335,22
336,29
337,22
338,1
339,0
340,1
341,17
342,9
343,30
344,0
345,0
346,17
347,21
348,3
349,7
350,3
351,0
352,17
353,13
354,17
355,15
356,21
357,16
358,0
359,0
360,21
361,4
362,20
363,9
364,13
365,23
366,17
367,15
368,2
369,3
370,8
371,5
372,11
373,21
374,9
375,3
376,2
377,26
378,29
379,12
380,4
381,12
382,14
383,19
384,10
385,15
386,15
387,21
388,20
389,1
390,29
